"Relative Time (Process)","train50-no-dali - system/gpu.0.gpu","train50-no-dali - system/gpu.0.gpu__MIN","train50-no-dali - system/gpu.0.gpu__MAX"
"9750.633321127","84","84","84"
"9765.632469756","91","91","91"
"9780.632880723","84","84","84"
"9795.632334969","95","95","95"
"9810.635096021","96","96","96"
"9825.632684706","96","96","96"
"9840.632365808","95","95","95"
"9855.631893658","85","85","85"
"9870.635657663","96","96","96"
"9885.632304735","93","93","93"
"9900.632647853","92","92","92"
"9915.631869479","94","94","94"
"9930.633162308","87","87","87"
"9945.632395991","93","93","93"
"9960.632343603","87","87","87"
"9975.63290404","81","81","81"
"9990.633485049","90","90","90"
"10005.633560025","75","75","75"
"10020.631907526","81","81","81"
"10035.632710313","96","96","96"
"10050.632661738","91","91","91"
"10065.634932905","81","81","81"
"10080.632542674","96","96","96"
"10095.632803689","96","96","96"
"10110.63293633","90","90","90"
"10125.632905807","93","93","93"
"10140.632715205","90","90","90"
"10155.631891099","99","99","99"
"10170.632054255","95","95","95"
"10185.633137449","95","95","95"
"10200.631911458","95","95","95"
"10215.632573489","82","82","82"
"10230.632145306","85","85","85"
"10245.6339234","72","72","72"
"10260.63396646","91","91","91"
"10275.632301503","86","86","86"
"10290.632539195","91","91","91"
"10305.63362387","88","88","88"
"10320.632673409","92","92","92"
"10335.63251602","98","98","98"
"10350.632625195","84","84","84"
"10365.635328134","93","93","93"
"10380.632011751","96","96","96"
"10395.632306896","90","90","90"
"10410.632579927","88","88","88"
"10425.635157456","89","89","89"
"10440.632457054","94","94","94"
"10455.632574206","76","76","76"
"10470.633942638","95","95","95"
"10485.633113322","97","97","97"
"10500.632427139","86","86","86"
"10515.632142468","91","91","91"
"10530.633071433","97","97","97"
"10545.631990616","98","98","98"
"10560.631893608","92","92","92"
"10575.632049787","93","93","93"
"10590.633509179","82","82","82"
"10605.632661525","96","96","96"
"10620.631761412","92","92","92"
"10635.631686197","93","93","93"
"10650.633533737","86","86","86"
"10665.632112171","84","84","84"
"10680.631925941","95","95","95"
"10695.632725762","89","89","89"
"10710.633312701","83","83","83"
"10725.632082687","93","93","93"
"10740.632044129","91","91","91"
"10755.63274968","76","76","76"
"10770.63359089","77","77","77"
"10785.632170331","84","84","84"
"10800.632027861","93","93","93"
"10815.632928484","84","84","84"
"10830.63515074","94","94","94"
"10845.632597104","99","99","99"
"10860.63238403","80","80","80"
"10875.632498622","87","87","87"
"10890.634463283","78","78","78"
"10905.632750382","94","94","94"
"10920.631919112","86","86","86"
"10935.632479068","63","63","63"
"10950.632842103","92","92","92"
"10965.631894345","94","94","94"
"10980.633109091","95","95","95"
"10995.63283101","84","84","84"
"11010.635814815","90","90","90"
"11025.632053206","85","85","85"
"11040.632817707","96","96","96"
"11055.632536744","95","95","95"
"11070.635008673","97","97","97"
"11085.632671938","95","95","95"
"11100.632342777","95","95","95"
"11115.632292769","95","95","95"
"11130.635397917","89","89","89"
"11145.632108631","93","93","93"
"11160.632506564","95","95","95"
"11175.631987506","91","91","91"
"11190.63289646","86","86","86"
"11205.632743299","88","88","88"
"11220.632297813","92","92","92"
"11235.632952795","95","95","95"
"11250.63360436","86","86","86"
"11265.63192714","94","94","94"
"11280.632130384","81","81","81"
"11295.63268513","82","82","82"
"11310.633079812","93","93","93"
"11325.632451","89","89","89"
"11340.632650686","93","93","93"
"11355.632605059","95","95","95"
"11370.634620101","80","80","80"
"11385.632347622","93","93","93"
"11400.632364093","98","98","98"
"11415.63227287","96","96","96"
"11430.63490336","86","86","86"
"11445.632408025","75","75","75"
"11460.632290854","91","91","91"
"11475.632793495","85","85","85"
"11490.633571989","97","97","97"
"11505.632838082","84","84","84"
"11520.63263423","94","94","94"
"11535.632390946","93","93","93"
"11550.633989294","68","68","68"
"11565.633374164","87","87","87"
"11580.632902538","93","93","93"
"11595.63232016","91","91","91"
"11610.633824872","82","82","82"
"11625.632177766","98","98","98"
"11640.632424122","94","94","94"
"11655.631854246","79","79","79"
"11670.632884453","91","91","91"
"11685.63414535","92","92","92"
"11700.632661682","96","96","96"
"11715.632053235","89","89","89"
"11730.6321321","84","84","84"
"11745.634552284","81","81","81"
"11760.632701569","96","96","96"
"11775.632071214","80","80","80"
"11790.632057046","92","92","92"
"11805.635481237","89","89","89"
"11820.632465822","83","83","83"
"11835.632288242","87","87","87"
"11850.632084699","76","76","76"
"11865.634334963","85","85","85"
"11880.632550033","98","98","98"
"11895.632475224","98","98","98"
"11910.632974004","88","88","88"
"11925.634732357","90","90","90"
"11940.633013901","88","88","88"
"11955.632386001","97","97","97"
"11970.63200643","94","94","94"
"11985.633284673","96","96","96"
"12000.632328105","89","89","89"
"12015.632803299","90","90","90"
"12030.632653217","91","91","91"
"12045.633828507","87","87","87"
"12060.633340539","86","86","86"
"12075.632658532","84","84","84"
"12090.631974932","86","86","86"
"12105.63316226","83","83","83"
"12120.633659479","91","91","91"
"12135.632237473","83","83","83"
"12150.631976513","90","90","90"
"12165.632580887","90","90","90"
"12180.634559773","93","93","93"
"12195.63218741","97","97","97"
"12210.63185928","90","90","90"
"12225.63505102","95","95","95"
"12240.635529375","91","91","91"
"12255.632352558","85","85","85"
"12270.63229867","97","97","97"
"12285.632420172","82","82","82"
"12300.635143312","91","91","91"
"12315.632643011","91","91","91"
"12330.632685842","95","95","95"
"12345.63229905","84","84","84"
"12360.635426979","92","92","92"
"12375.632829327","92","92","92"
"12390.632774698","99","99","99"
"12405.632025388","84","84","84"
"12420.631780019","91","91","91"
"12435.635003262","91","91","91"
"12450.632697202","93","93","93"
"12465.632858541","98","98","98"
"12480.632853448","93","93","93"
"12495.633258022","94","94","94"
"12510.632635424","96","96","96"
"12525.632326807","93","93","93"
"12540.631975601","88","88","88"
"12555.633115659","89","89","89"
"12570.633930644","98","98","98"
"12585.632513016","86","86","86"
"12600.632723346","78","78","78"
"12615.632142222","89","89","89"
"12630.635552943","81","81","81"
"12645.632693909","91","91","91"
"12660.632657193","92","92","92"
"12675.632041883","95","95","95"
"12690.633653811","86","86","86"
"12705.632548411","92","92","92"
"12720.631816204","86","86","86"
"12735.632961074","95","95","95"
"12750.633058087","93","93","93"
"12765.633963924","87","87","87"
"12780.632415029","91","91","91"
"12795.633007259","95","95","95"
"12810.633121063","90","90","90"
"12825.635553583","93","93","93"
"12840.632920924","97","97","97"
"12855.632531033","91","91","91"
"12870.632708726","95","95","95"
"12885.637184996","92","92","92"
"12900.63566818","97","97","97"
"12915.632456181","90","90","90"
"12930.6327005","97","97","97"
"12945.63301864","88","88","88"
"12960.633125205","78","78","78"
"12975.632765634","91","91","91"
"12990.631962305","94","94","94"
"13005.633905787","88","88","88"
"13020.634142967","87","87","87"
"13035.632277309","91","91","91"
"13050.63181908","99","99","99"
"13065.632262035","86","86","86"
"13080.634650626","90","90","90"
"13095.632236312","94","94","94"
"13110.632224845","90","90","90"
"13125.632690803","97","97","97"
"13140.63322341","95","95","95"
"13155.6326035","95","95","95"
"13170.632753359","98","98","98"
"13185.631927679","89","89","89"
"13200.633023364","86","86","86"
"13215.63312912","94","94","94"
"13230.631936499","93","93","93"
"13245.631877312","92","92","92"
"13260.633899803","98","98","98"
"13275.633784036","95","95","95"
"13290.6328413","90","90","90"
"13305.632345392","96","96","96"
"13320.631891913","92","92","92"
"13335.635516437","90","90","90"
"13350.631885824","89","89","89"
"13365.632089588","89","89","89"
"13380.632633808","95","95","95"
"13395.63329375","92","92","92"
"13410.631943801","88","88","88"
"13425.631896144","95","95","95"
"13440.632299731","90","90","90"
"13455.63317622","78","78","78"
