"Relative Time (Process)","train50-dali-all-CPU-processing - system/gpu.0.gpu","train50-dali-all-CPU-processing - system/gpu.0.gpu__MIN","train50-dali-all-CPU-processing - system/gpu.0.gpu__MAX"
"11040.61501971","0","0","0"
"11055.615689015","96","96","96"
"11070.614846985","89","89","89"
"11085.617079378","93","93","93"
"11100.615630285","97","97","97"
"11115.615477168","88","88","88"
"11130.616335037","87","87","87"
"11145.615813028","87","87","87"
"11160.615258498","90","90","90"
"11175.614881843","75","75","75"
"11190.615930141","98","98","98"
"11205.615532135","77","77","77"
"11220.615536752","89","89","89"
"11235.615405365","90","90","90"
"11250.616286654","94","94","94"
"11265.614701915","94","94","94"
"11280.614707481","91","91","91"
"11295.614830292","93","93","93"
"11310.615406794","90","90","90"
"11325.615191728","91","91","91"
"11340.615219395","85","85","85"
"11355.616356523","90","90","90"
"11370.616851031","74","74","74"
"11385.615160748","82","82","82"
"11400.614540995","91","91","91"
"11415.616129813","41","41","41"
"11430.616373805","84","84","84"
"11445.615711585","90","90","90"
"11460.61519087","54","54","54"
"11475.61501656","87","87","87"
"11490.616871596","82","82","82"
"11505.61458235","91","91","91"
"11520.615451852","91","91","91"
"11535.615925004","70","70","70"
"11550.616090106","67","67","67"
"11565.614578915","92","92","92"
"11580.615571113","86","86","86"
"11595.621523474","86","86","86"
"11610.616529203","89","89","89"
"11625.615529859","96","96","96"
"11640.615538714","93","93","93"
"11655.616567551","74","74","74"
"11670.615977361","90","90","90"
"11685.615647362","94","94","94"
"11700.615173625","89","89","89"
"11715.616179972","90","90","90"
"11730.615732713","90","90","90"
"11745.615110746","94","94","94"
"11760.615043487","85","85","85"
"11775.615803434","91","91","91"
"11790.616249901","90","90","90"
"11805.614803595","84","84","84"
"11820.615478872","91","91","91"
"11835.61640899","83","83","83"
"11850.616612276","85","85","85"
"11865.615861751","89","89","89"
"11880.614901555","56","56","56"
"11895.615026994","79","79","79"
"11910.616852048","75","75","75"
"11925.615236217","88","88","88"
"11940.615278219","69","69","69"
"11955.615783265","90","90","90"
"11970.616837776","83","83","83"
"11985.615588287","82","82","82"
"12000.61505091","80","80","80"
"12015.614624381","87","87","87"
"12030.617593483","87","87","87"
"12045.614737054","84","84","84"
"12060.615373568","73","73","73"
"12075.615181397","91","91","91"
"12090.618183056","82","82","82"
"12105.614883214","99","99","99"
"12120.614982774","84","84","84"
"12135.615489768","94","94","94"
"12150.616297777","96","96","96"
"12165.615721455","88","88","88"
"12180.615107513","95","95","95"
"12195.616070835","88","88","88"
"12210.619786652","84","84","84"
"12225.615737653","69","69","69"
"12240.615417426","89","89","89"
"12255.615049338","98","98","98"
"12270.615830365","91","91","91"
"12285.614975066","70","70","70"
"12300.614952409","86","86","86"
"12315.614780338","83","83","83"
"12330.61560426","91","91","91"
"12345.615680792","88","88","88"
"12360.615566582","93","93","93"
"12375.615467222","89","89","89"
"12390.615029893","91","91","91"
"12405.616531598","96","96","96"
"12420.615039136","74","74","74"
"12435.614953989","70","70","70"
"12450.616459587","94","94","94"
"12465.617396023","89","89","89"
"12480.6147968","90","90","90"
"12495.615061333","97","97","97"
"12510.614874437","61","61","61"
"12525.61763451","85","85","85"
"12540.614815936","90","90","90"
"12555.615409031","87","87","87"
"12570.614910569","83","83","83"
"12585.618571737","82","82","82"
"12600.615587943","93","93","93"
"12615.615411684","97","97","97"
"12630.615033931","72","72","72"
"12645.616511662","84","84","84"
"12660.615328395","93","93","93"
"12675.615182414","91","91","91"
"12690.614765815","78","78","78"
"12705.615675333","83","83","83"
"12720.615247613","91","91","91"
"12735.614872797","83","83","83"
"12750.614969192","93","93","93"
"12765.615992353","76","76","76"
"12780.61625458","94","94","94"
"12795.614845819","89","89","89"
"12810.615246489","83","83","83"
"12825.616524668","87","87","87"
"12840.617263819","91","91","91"
"12855.61566395","88","88","88"
"12870.615386703","91","91","91"
"12885.615771724","89","89","89"
"12900.617030536","92","92","92"
"12915.614533771","88","88","88"
"12930.614706807","97","97","97"
"12945.615613092","90","90","90"
"12960.617993686","82","82","82"
"12975.614817716","76","76","76"
"12990.615405567","94","94","94"
"13005.615623448","65","65","65"
"13020.615938609","92","92","92"
"13035.615685653","74","74","74"
"13050.615627164","85","85","85"
